Name,Price,Image URL,Product URL
Bluetooth Headset +  Smart Watch Waterproof Sports Combination Affordable Set,"₦ 6,370",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/230148/1.jpg?8275,http://jumia.com.ng//generic-bluetooth-headset-smart-watch-waterproof-sports-combination-affordable-set-84103225.html
Smart Watch Full Touch Screen Watch - For Android & IOS.,"₦ 3,770",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/653238/1.jpg?0394,http://jumia.com.ng//generic-smart-watch-full-touch-screen-watch-for-android-ios.-83235639.html
Smart Watch Can Install SIM Card-call Watch,"₦ 3,900",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/286938/1.jpg?9798,http://jumia.com.ng//generic-smart-watch-can-install-sim-card-call-watch-83968264.html
Breathable Lace-Up Sport Shoes Sneakers-Brown,"₦ 2,990",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/3210701/1.jpg?5199,http://jumia.com.ng//fashion-breathable-lace-up-sport-shoes-sneakers-brown-107012357.html
"Infinix Smart 6, 6.6"", 2GB/32GB, 5000MAh, Android 11 -Midnight Black","₦ 53,500",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/7926721/1.jpg?5385,http://jumia.com.ng//infinix-smart-6-6.6-2gb32gb-5000mah-android-11-midnight-black-127629700.html
Bluetooth 5.0 PRO3 Wireless Earphone Waterproof Earbuds Air3 Business Big Batteries Headset,"₦ 2,250",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/299048/1.jpg?3722,http://jumia.com.ng//generic-bluetooth-5.0-pro3-wireless-earphone-waterproof-earbuds-air3-business-big-batteries-headset-84099282.html
Men's Smart Fit Canvas Sneakers,"₦ 5,500 - ₦ 6,000",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/1960401/1.jpg?1681,http://jumia.com.ng//fashion-mens-smart-fit-canvas-sneakers-104069178.html
"Efero Teeth Cleansing Essence., 1 Pc","₦ 1,990",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/1912801/1.jpg?2848,http://jumia.com.ng//teeth-cleansing-essence.-1-pc-efero-mpg1585024.html
Silicone LED Digital Wristwatch - Unisex,"₦ 1,980",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/718375/1.jpg?0866,http://jumia.com.ng//fashion-silicone-led-digital-wristwatch-unisex-57381735.html
Declan Mein England Bullock Brogue Dress Shoes Upto Size 48 - Black,"₦ 16,980",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/276283/1.jpg?5253,http://jumia.com.ng//declan-mein-england-bullock-brogue-dress-shoes-upto-size-48-black-38267262.html
Jones Wears Marshmello Printed Hoodie Black,"₦ 4,800 - ₦ 9,800",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/257805/1.jpg?2972,http://jumia.com.ng//jones-wears-marshmello-printed-hoodie-black-50875236.html
Nokia Lite Earbuds Black BH-205,"₦ 9,375",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/998869/1.jpg?1866,http://jumia.com.ng//nokia-lite-earbuds-black-bh-205-96889961.html
"Samsung Galaxy A13, 4GB/64GB Memory, 5000 MAh Battery - White","₦ 95,650",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/4295621/1.jpg?3255,http://jumia.com.ng//samsung-galaxy-a13-4gb64gb-memory-5000-mah-battery-white-126592408.html
Fingerprint Touch Bluetooth Headset Noise-cancelling Stereo Headset,"₦ 1,970",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/237687/1.jpg?3307,http://jumia.com.ng//generic-fingerprint-touch-bluetooth-headset-noise-cancelling-stereo-headset-78673239.html
MOVFA 10000 Mah Fast Charging Dual USB Portable Power Banks,"₦ 2,500",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/806374/1.jpg?3065,http://jumia.com.ng//movfa-10000-mah-fast-charging-dual-usb-portable-power-banks-47360876.html
Trendyol Collection T-Shirt - Black - Regular,"₦ 3,660",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/6002721/1.jpg?4312,http://jumia.com.ng//trendyol-collection-t-shirt-black-regular-127200676.html
Trendyol Collection T-Shirt - Black - Oversize,"₦ 5,710",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/1102721/1.jpg?4310,http://jumia.com.ng//trendyol-collection-t-shirt-black-oversize-127201194.html
